# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	25487
#@/user_id	08739937-06a1-48ea-b483-a1d82a4c18b3
Epsilon 	Ε	c=1 d=1.21929e-09 t=25487
na jiu 	那就	c=18 d=0.13482 t=25487
na jiu hao 	那就好	c=2 d=1.22095e-25 t=25487
na jiu shi 	那就是	c=3 d=0.162026 t=25487
na ju hua 	哪句话	c=2 d=4.29777e-07 t=25487
na kan 	那看	c=2 d=9.73428e-37 t=25487
na ke 	那可	c=1 d=2.56792e-07 t=25487
na ke yi 	那可以	c=1 d=6.5522e-27 t=25487
na ken ding 	那肯定	c=1 d=2.669e-20 t=25487
na kuai 	那块	c=1 d=4.21338e-09 t=25487
na lai 	拿来	c=1 d=9.14709e-11 t=25487
na le 	拿了	c=1 d=1.98613e-14 t=25487
na li 	哪里	c=16 d=1.99305e-13 t=25487
na li 	那里	c=3 d=8.63376e-08 t=25487
na li lai 	哪里来	c=1 d=1.02706e-20 t=25487
na me 	那么	c=8 d=0.000756807 t=25487
na me ai 	那么矮	c=1 d=0.0065062 t=25487
na me chang 	那么长	c=1 d=4.1391e-35 t=25487
na me da 	那么大	c=1 d=1.09567e-16 t=25487
na me duo 	那么多	c=6 d=7.25352e-08 t=25487
na me jiu 	那么久	c=2 d=4.01677e-35 t=25487
na men 	纳闷	c=1 d=8.64232e-49 t=25487
na mi 	纳米	c=0 d=2.28616e-23 t=25487
na mi kong 	纳米孔	c=6 d=6.24013e-21 t=25487
na neng 	哪能	c=1 d=8.35697e-07 t=25487
na ni 	那你	c=7 d=7.46967e-10 t=25487
na ni men 	那你们	c=1 d=5.28928e-08 t=25487
na nin 	那您	c=2 d=6.22414e-11 t=25487
na pa 	哪怕	c=1 d=2.44393e-13 t=25487
na pi 	那批	c=1 d=8.4378e-32 t=25487
na pian 	那篇	c=1 d=1.54303e-44 t=25487
na ren 	那人	c=1 d=2.83066e-06 t=25487
na sha 	那啥	c=2 d=4.80159e-17 t=25487
na shi 	那是	c=6 d=3.68335e-06 t=25487
na shui 	拿水	c=1 d=2.82816e-25 t=25487
na tai 	那台	c=2 d=3.96927e-42 t=25487
na tian 	那天	c=2 d=2.5977e-25 t=25487
na wo 	那我	c=35 d=7.41775e-06 t=25487
na wo jiu 	那我就	c=1 d=2.79955e-23 t=25487
na wu 	那屋	c=2 d=7.61797e-06 t=25487
na xie 	哪些	c=14 d=0.00100779 t=25487
na xie 	那些	c=10 d=4.88781e-12 t=25487
na xing 	那行	c=4 d=2.49189e-10 t=25487
na yang 	那样	c=1 d=3.40754e-41 t=25487
na ye 	那也	c=1 d=1.08082e-32 t=25487
na yi ge 	哪一个	c=1 d=1.18076e-43 t=25487
na you 	哪有	c=1 d=4.15277e-16 t=25487
na zhong 	哪种	c=1 d=8.25245e-06 t=25487
na zhong 	那种	c=3 d=2.20452e-06 t=25487
na zou 	拿走	c=1 d=0.000247278 t=25487
nai 	奶	c=1 d=1.86622e-46 t=25487
nai fan 	耐烦	c=1 d=7.22896e-07 t=25487
nai yao 	耐药	c=22 d=5.12236e-13 t=25487
nai yao lv 	耐药率	c=1 d=4.11776e-33 t=25487
nai yao xing 	耐药性	c=1 d=4.19152e-36 t=25487
nan 	男	c=3 d=2.87305e-26 t=25487
nan 	难	c=3 d=0.0420036 t=25487
nan bei chao 	南北朝	c=1 d=5.40917e-07 t=25487
nan dao 	难道	c=3 d=1.07101e-13 t=25487
nan de 	男的	c=4 d=1.02322e-06 t=25487
nan de 	难得	c=0 d=6.89399e-38 t=25487
nan de jian 	难得见	c=1 d=6.92851e-37 t=25487
nan fang ke ji 	南方科技	c=1 d=5.95111e-42 t=25487
nan fen 	难分	c=1 d=1.08101e-34 t=25487
nan gua 	南瓜	c=1 d=6.04638e-23 t=25487
nan guai 	难怪	c=2 d=2.31747e-35 t=25487
nan hai 	男孩	c=1 d=6.5093e-38 t=25487
nan kai 	南开	c=1 d=1.60049e-33 t=25487
nan ke da 	南科大	c=1 d=7.96997e-08 t=25487
nan ren 	男人	c=4 d=5.61538e-06 t=25487
nan shi 	男士	c=1 d=0.0102549 t=25487
nan yi 	难以	c=2 d=3.47827e-18 t=25487
nang si shui 	攮死谁	c=1 d=2.23321e-11 t=25487
nao 	闹	c=1 d=2.33076e-14 t=25487
nao ling 	闹铃	c=1 d=1.04745e-16 t=25487
nao zi 	脑子	c=1 d=5.5365e-16 t=25487
ne 	呢	c=69 d=0.935534 t=25487
nei 	内	c=6 d=1.32859e-19 t=25487
nei cun 	内存	c=3 d=1.37204e-14 t=25487
nei he 	内核	c=3 d=1.86318e-09 t=25487
nei rong 	内容	c=4 d=8.27954e-36 t=25487
nei yuan xing 	内源性	c=1 d=4.29544e-30 t=25487
nei zhi 	内酯	c=0 d=7.41298e-39 t=25487
neng 	能	c=55 d=0.240997 t=25487
neng bu neng 	能不能	c=13 d=0.00011978 t=25487
neng dao 	能到	c=1 d=8.00968e-37 t=25487
neng gou 	能够	c=1 d=2.3988e-29 t=25487
neng li 	能力	c=1 d=3.74075e-21 t=25487
neng yong 	能用	c=0 d=8.78517e-37 t=25487
ni 	你	c=134 d=4.11262 t=25487
ni ba 	你把	c=3 d=3.30176e-10 t=25487
ni ba ni 	你把你	c=1 d=5.90712e-43 t=25487
ni bu 	你不	c=0 d=1.33711e-07 t=25487
ni bu qu 	你不去	c=2 d=2.70113e-06 t=25487
ni bu shi 	你不是	c=4 d=0.000527326 t=25487
ni ce le 	你测了	c=1 d=2.26695e-11 t=25487
ni da lao yuan 	你大老远	c=1 d=8.19288e-09 t=25487
ni de 	你的	c=23 d=0.0750898 t=25487
ni gang gang 	你刚刚	c=1 d=3.79342e-09 t=25487
ni gei wo 	你给我	c=1 d=2.87335e-35 t=25487
ni gen 	你跟	c=2 d=7.58256e-10 t=25487
ni gen ta 	你跟他	c=1 d=1.15102e-37 t=25487
ni hai 	你还	c=0 d=4.56508e-12 t=25487
ni hai chi 	你还吃	c=2 d=9.22203e-11 t=25487
ni hai shi 	你还是	c=2 d=4.09164e-17 t=25487
ni he 	你和	c=1 d=7.12477e-42 t=25487
ni he 	拟合	c=5 d=2.61552e-28 t=25487
ni hui 	你回	c=0 d=1.89255e-06 t=25487
ni hui jia 	你回家	c=1 d=1.90204e-05 t=25487
ni hui lai 	你回来	c=2 d=0.45612 t=25487
ni jin tian 	你今天	c=1 d=1.02333e-36 t=25487
ni jiu 	你就	c=1 d=1.41271e-06 t=25487
ni jiu shuo 	你就说	c=2 d=3.79793e-23 t=25487
ni jue de 	你觉得	c=1 d=8.3108e-30 t=25487
ni kai 	你开	c=1 d=0.000200439 t=25487
ni kan 	你看	c=5 d=0.0261214 t=25487
ni kan dao 	你看到	c=2 d=2.27204e-08 t=25487
ni kan kan 	你看看	c=5 d=1.83286e-10 t=25487
ni kan wo 	你看我	c=1 d=2.46715e-36 t=25487
ni ke yi 	你可以	c=5 d=2.09839e-10 t=25487
ni ken ding 	你肯定	c=1 d=4.21985e-27 t=25487
ni lai 	你来	c=6 d=6.45261e-05 t=25487
ni lai ba 	你来吧	c=1 d=1.84865e-23 t=25487
ni lai le 	你来了	c=1 d=9.28059e-05 t=25487
ni le 	你了	c=3 d=7.05767e-19 t=25487
ni lia 	你俩	c=2 d=1.11685e-06 t=25487
ni ma 	你吗	c=1 d=1.13941e-06 t=25487
ni mai 	你买	c=0 d=1.33939e-27 t=25487
ni mai sha 	你买啥	c=1 d=1.3461e-26 t=25487
ni mei 	你没	c=3 d=4.0519e-19 t=25487
ni mei qu 	你没去	c=1 d=1.02934e-46 t=25487
ni mei you 	你没有	c=1 d=0.0446009 t=25487
ni men 	你们	c=48 d=1.5495 t=25487
ni na 	你拿	c=0 d=1.29803e-11 t=25487
ni na 	你那	c=1 d=0.0300468 t=25487
ni na ge 	你那个	c=1 d=2.61117e-27 t=25487
ni na sha 	你拿啥	c=1 d=1.30454e-10 t=25487
ni neng 	你能	c=4 d=1.21634e-10 t=25487
ni pao 	你跑	c=1 d=6.78788e-31 t=25487
ni qu 	你去	c=3 d=2.88137e-09 t=25487
ni ren 	你人	c=1 d=9.19294e-11 t=25487
ni ru guo 	你如果	c=1 d=1.44843e-35 t=25487
ni shen me 	你什么	c=1 d=1.15702e-10 t=25487
ni shi 	你是	c=9 d=0.0923948 t=25487
ni shi xiang 	你是想	c=2 d=1.37614e-21 t=25487
ni shu fu 	你舒服	c=1 d=0.00663763 t=25487
ni shuo 	你说	c=2 d=0.0193524 t=25487
ni tu 	你图	c=1 d=5.57278e-34 t=25487
ni wan shang 	你晚上	c=1 d=1.65069e-14 t=25487
ni wo 	你我	c=1 d=8.50346e-35 t=25487
ni wu 	你屋	c=1 d=2.36477e-08 t=25487
ni xia wu 	你下午	c=1 d=3.68004e-05 t=25487
ni xian 	你先	c=4 d=0.000176005 t=25487
ni xian zai 	你现在	c=1 d=2.0057e-41 t=25487
ni xiang 	你想	c=2 d=0.937068 t=25487
ni xiang ting 	你想听	c=1 d=9.45456e-47 t=25487
ni xiong 	你凶	c=1 d=0.0639279 t=25487
ni xu yao 	你需要	c=1 d=4.43167e-15 t=25487
ni yao 	你要	c=3 d=9.09837e-07 t=25487
ni ye 	你也	c=4 d=0.634448 t=25487
ni ye shi 	你也是	c=1 d=1.1538e-36 t=25487
ni ying gai 	你应该	c=3 d=0.000561443 t=25487
ni yong 	你用	c=1 d=2.32347e-36 t=25487
ni you 	你有	c=1 d=1.70386e-34 t=25487
ni you mei you 	你有没有	c=1 d=2.2853e-47 t=25487
ni za 	你咋	c=3 d=4.13347e-19 t=25487
ni za shuo 	你咋说	c=1 d=1.369e-48 t=25487
ni za xie 	你咋写	c=1 d=2.2787e-13 t=25487
ni zai 	你在	c=7 d=6.06737e-05 t=25487
ni zai gan sha 	你在干啥	c=1 d=5.36904e-37 t=25487
ni zai na 	你在哪	c=2 d=0.571209 t=25487
ni zhao 	你找	c=1 d=2.2022e-23 t=25487
ni zhe 	你这	c=3 d=0.128558 t=25487
ni zhe hua 	你这话	c=1 d=1.81143e-19 t=25487
ni zhi dao 	你知道	c=2 d=4.69021e-35 t=25487
ni zhi jie 	你直接	c=2 d=6.49603e-14 t=25487
ni zhun bei 	你准备	c=2 d=2.12906e-08 t=25487
ni zou 	你走	c=1 d=1.85855e-27 t=25487
ni zou le 	你走了	c=2 d=1.46498e-14 t=25487
nian 	年	c=43 d=0.00790893 t=25487
nian bai 	念白	c=1 d=1.28775e-34 t=25487
nian du 	年度	c=1 d=6.19186e-38 t=25487
nian fu 	黏附	c=0 d=2.51135e-40 t=25487
nian fu dan bai 	黏附蛋白	c=1 d=2.52393e-39 t=25487
nian ji 	年纪	c=1 d=5.66374e-48 t=25487
nian ling 	年龄	c=1 d=1.45698e-16 t=25487
nian mai 	年迈	c=1 d=1.15361e-34 t=25487
nian nian 	年年	c=1 d=6.20789e-39 t=25487
nian qing 	年轻	c=3 d=5.99959e-07 t=25487
nian tou 	年头	c=1 d=3.77385e-07 t=25487
niang 	娘	c=1 d=3.60964e-13 t=25487
nie chi mu 	啮齿目	c=1 d=1.25467e-22 t=25487
nin 	您	c=98 d=0.25384 t=25487
nin de 	您的	c=5 d=8.58459e-29 t=25487
nin gen 	您跟	c=1 d=1.02884e-11 t=25487
nin guo lai 	您过来	c=1 d=2.5546e-34 t=25487
nin hao 	您好	c=20 d=5.06207e-11 t=25487
nin kan 	您看	c=7 d=1.60266e-15 t=25487
nin le 	您了	c=1 d=2.5235e-37 t=25487
nin na 	您哪	c=1 d=1.0758e-36 t=25487
nin neng 	您能	c=1 d=5.97684e-34 t=25487
nin shi zhi 	您是指	c=1 d=1.73078e-42 t=25487
nin shuo 	您说	c=1 d=1.48894e-36 t=25487
nin xian 	您先	c=1 d=6.67545e-11 t=25487
nin xu yao 	您需要	c=1 d=5.35717e-11 t=25487
nin ye 	您也	c=1 d=8.63347e-37 t=25487
nin you 	您有	c=1 d=3.26214e-28 t=25487
nin zai 	您再	c=1 d=2.05151e-42 t=25487
ning ai 	宁挨	c=1 d=0.000457378 t=25487
nong 	弄	c=11 d=1.41145e-08 t=25487
nong ba 	弄吧	c=1 d=1.07379e-14 t=25487
nong cuo 	弄错	c=1 d=2.26611e-36 t=25487
nong de 	弄得	c=1 d=3.61332e-25 t=25487
nong du 	浓度	c=8 d=1.6337e-10 t=25487
nong ge 	弄个	c=1 d=7.74205e-49 t=25487
nong hao 	弄好	c=1 d=1.0092e-37 t=25487
nong hao le 	弄好了	c=1 d=9.05429e-38 t=25487
nong yi fen 	弄一份	c=2 d=1.48869e-34 t=25487
nu cai 	奴才	c=1 d=2.51699e-36 t=25487
nuan 	暖	c=2 d=1.47132e-35 t=25487
nuan he 	煖和	c=1 d=7.26499e-36 t=25487
nuan nan 	暖男	c=1 d=3.93456e-27 t=25487
nuo ru 	诺如	c=2 d=1.45081e-45 t=25487
nuo ru bing du 	诺如病毒	c=1 d=7.21747e-47 t=25487
nuo wei 	诺维	c=0 d=2.33186e-50 t=25487
nuo wei zan 	诺维赞	c=2 d=1.57014e-43 t=25487
nv 	女	c=4 d=0.0236356 t=25487
nv fu ma 	女驸马	c=2 d=2.01121e-36 t=25487
nv hai 	女孩	c=1 d=6.57473e-38 t=25487
nv peng you 	女朋友	c=2 d=0.00892567 t=25487
nv ren 	女人	c=1 d=2.82528e-13 t=25487
nv zi 	女子	c=1 d=1.97994e-36 t=25487
o 	哦	c=25 d=0.251836 t=25487
o o 	哦哦	c=17 d=0.0355963 t=25487
of 	of	c=3 d=8.06816e-05 t=25487
ok 	ok	c=2 d=1.66371e-35 t=25487
oka 	okay	c=1 d=1.57805e-14 t=25487
opera 	opera	c=1 d=1.00085e-10 t=25487
ou ke 	欧克	c=5 d=0.527419 t=25487
ou ran 	偶然	c=2 d=0.726149 t=25487
ou shu 	偶数	c=0 d=1.61295e-37 t=25487
ou shu lie 	偶数列	c=1 d=1.62103e-36 t=25487
pa 	怕	c=12 d=3.38672e-20 t=25487
pa chong 	爬虫	c=1 d=5.13645e-16 t=25487
pa ni 	怕你	c=1 d=0.0221482 t=25487
pa sha 	怕啥	c=1 d=3.97275e-23 t=25487
pa zhe 	趴着	c=1 d=0.00653881 t=25487
pack age 	package	c=1 d=3.27737e-24 t=25487
pai ban 	排版	c=5 d=1.02927e-28 t=25487
pai chu 	排除	c=1 d=3.33949e-39 t=25487
pai dui 	排队	c=1 d=6.24983e-30 t=25487
pai gei 	派给	c=1 d=7.74628e-26 t=25487
pai man 	排满	c=1 d=8.47002e-18 t=25487
pai mian 	牌面	c=1 d=3.35679e-41 t=25487
pai ming 	排名	c=1 d=2.25886e-32 t=25487
pai xie wu 	排泄物	c=2 d=1.56444e-46 t=25487
pai zhao 	拍照	c=1 d=8.38145e-12 t=25487
pan 	盘	c=14 d=1.76056e-05 t=25487
pan 	盼	c=1 d=3.1598e-06 t=25487
pan bu dong 	盘不动	c=1 d=3.08967e-36 t=25487
pan duan 	判断	c=5 d=8.71255e-21 t=25487
pan yi pan 	盘一盘	c=1 d=0.000176887 t=25487
pan zhan 	判斩	c=2 d=1.59402e-36 t=25487
pang de 	庞德	c=1 d=6.02545e-41 t=25487
pang xie 	螃蟹	c=1 d=1.07674e-17 t=25487
pao 	泡	c=2 d=2.84234e-25 t=25487
pao 	跑	c=19 d=8.65508e-10 t=25487
pao bu 	跑步	c=1 d=6.35959e-29 t=25487
pao chu lai 	跑出来	c=1 d=9.10457e-15 t=25487
pao guo 	跑过	c=1 d=2.30952e-24 t=25487
pao pao 	跑跑	c=1 d=2.83887e-40 t=25487
pao shang 	跑上	c=3 d=1.75634e-14 t=25487
pao shang le 	跑上了	c=1 d=6.64441e-15 t=25487
pao wan 	跑完	c=2 d=5.98111e-13 t=25487
pao yi 	跑一	c=0 d=1.24752e-44 t=25487
pao yi bian 	跑一遍	c=1 d=2.78265e-40 t=25487
pao yi xia 	跑一下	c=3 d=3.64331e-34 t=25487
part 	part	c=1 d=9.9258e-31 t=25487
pc 	pc	c=1 d=1.15939e-34 t=25487
pd f 	pdf	c=2 d=2.00685e-35 t=25487
pei he 	配合	c=2 d=1.72755e-20 t=25487
pei le 	陪了	c=1 d=0.0372539 t=25487
pei se 	配色	c=4 d=1.62085e-24 t=25487
pei yang 	培养	c=9 d=9.89305e-18 t=25487
pei zhi 	配置	c=17 d=6.49382e-10 t=25487
pen 	喷	c=0 d=7.09042e-45 t=25487
pen jiu jing 	喷酒精	c=1 d=7.12596e-44 t=25487
peng 	彭	c=1 d=3.08915e-34 t=25487
peng 	鹏	c=0 d=0.0467667 t=25487
peng ke 	彭珂	c=3 d=9.42566e-11 t=25487
peng ren 	烹饪	c=1 d=2.92989e-29 t=25487
peng shang 	碰上	c=1 d=4.63708e-48 t=25487
peng you 	朋友	c=5 d=5.37304e-06 t=25487
phylum 	phylum	c=1 d=2.26611e-36 t=25487
pi 	批	c=0 d=1.34263e-26 t=25487
pi 	皮	c=1 d=3.98926e-13 t=25487
pi chong 	蜱虫	c=1 d=4.34613e-21 t=25487
pi ci 	批次	c=3 d=6.58089e-19 t=25487
pi huang 	皮黄	c=1 d=2.90074e-29 t=25487
pi jiu 	啤酒	c=3 d=1.70129e-05 t=25487
pi lao 	疲劳	c=1 d=1.05106e-27 t=25487
pi liang 	批量	c=2 d=5.24841e-05 t=25487
pi pa 	枇杷	c=1 d=2.15156e-14 t=25487
pi pei 	匹配	c=2 d=3.23143e-05 t=25487
pian 	篇	c=1 d=3.44776e-33 t=25487
pian duan 	片段	c=4 d=1.24413e-11 t=25487
pian le 	骗了	c=0 d=7.42206e-24 t=25487
pian le ta 	骗了他	c=1 d=7.45925e-23 t=25487
pian mian 	片面	c=1 d=5.48514e-24 t=25487
pian ni 	骗你	c=1 d=2.31992e-18 t=25487
pian ren 	骗人	c=1 d=6.48254e-19 t=25487
pian xiang 	偏向	c=1 d=3.04843e-25 t=25487
pian yi 	便宜	c=2 d=9.09859e-16 t=25487
pian zi 	片子	c=1 d=4.54062e-36 t=25487
piao 	瓢	c=1 d=1.30631e-26 t=25487
piao ji 	嫖妓	c=1 d=6.0684e-07 t=25487
piao le 	瓢了	c=1 d=5.64834e-16 t=25487
piao liang 	漂亮	c=1 d=0.00631391 t=25487
piao shui 	嫖谁	c=1 d=1.03972e-17 t=25487
pin 	品	c=2 d=4.48341e-09 t=25487
pin 	拼	c=1 d=2.71302e-36 t=25487
pin jie 	拼接	c=1 d=2.92433e-36 t=25487
pin lv 	频率	c=1 d=0.0127147 t=25487
pin pai 	品牌	c=1 d=0.000157671 t=25487
pin yin 	拼音	c=3 d=0.995012 t=25487
ping 	屏	c=1 d=6.24007e-41 t=25487
ping 	平	c=2 d=6.4976e-35 t=25487
ping an 	平安	c=1 d=7.46816e-37 t=25487
ping fan 	平凡	c=1 d=1.2653e-33 t=25487
ping gu 	评估	c=1 d=2.2486e-33 t=25487
ping guo 	苹果	c=1 d=8.6995e-09 t=25487
ping guo zhi 	苹果汁	c=1 d=8.87948e-44 t=25487
ping jia 	评价	c=1 d=1.18611e-08 t=25487
ping ju 	凭据	c=1 d=1.35239e-22 t=25487
ping jun 	平均	c=3 d=2.32071e-22 t=25487
ping lun 	评论	c=1 d=6.08701e-43 t=25487
ping mu 	屏幕	c=4 d=3.94604e-34 t=25487
ping sha 	平沙	c=0 d=3.37133e-34 t=25487
ping sha sheng 	平沙生	c=1 d=3.38824e-33 t=25487
ping shi 	平时	c=1 d=4.80077e-15 t=25487
ping tai 	平台	c=2 d=6.92555e-22 t=25487
ping tang 	平躺	c=1 d=3.0181e-25 t=25487
ping wei 	评委	c=7 d=3.02041e-20 t=25487
ping wen 	平稳	c=1 d=3.74522e-35 t=25487
ping yang 	平阳	c=1 d=8.17034e-06 t=25487
po jie 	破解	c=5 d=2.52307e-35 t=25487
po lan 	破烂	c=1 d=0.000816895 t=25487
po po 	婆婆	c=1 d=6.47575e-36 t=25487
po yun 	破云	c=1 d=4.72513e-34 t=25487
power shell 	powershell	c=1 d=6.23796e-37 t=25487
print 	print	c=1 d=7.52654e-11 t=25487
pu 	谱	c=1 d=1.36929e-21 t=25487
pu sa 	菩萨	c=1 d=3.42998e-30 t=25487
pu tong 	普通	c=2 d=1.57478e-19 t=25487
pu zi 	谱子	c=1 d=6.07047e-11 t=25487
qi 	七	c=1 d=1.16965e-20 t=25487
qi 	其	c=10 d=1.93989e-12 t=25487
qi 	期	c=3 d=1.48818e-30 t=25487
qi 	气	c=2 d=5.38116e-34 t=25487
qi 	起	c=2 d=1.75247e-12 t=25487
qi bu 	岂不	c=0 d=2.26611e-37 t=25487
qi bu bei 	岂不被	c=1 d=2.27746e-36 t=25487
qi bu shi 	岂不是	c=1 d=2.94618e-06 t=25487
qi che 	汽车	c=2 d=1.96426e-15 t=25487
qi che 	骑车	c=2 d=3.19105e-14 t=25487
qi chun 	蕲春	c=2 d=1.97974e-15 t=25487
qi cu 	气促	c=2 d=1.23936e-17 t=25487
qi dong 	启动	c=2 d=0.017953 t=25487
qi fen 	气愤	c=1 d=3.17673e-10 t=25487
qi guai 	奇怪	c=4 d=0.000199439 t=25487
qi hou 	其后	c=4 d=1.07693e-19 t=25487
qi kan 	期刊	c=6 d=7.91749e-35 t=25487
qi lai 	起来	c=1 d=1.62301e-21 t=25487
qi shi 	其实	c=15 d=6.89987e-07 t=25487
qi shi 	起始	c=1 d=1.03862e-34 t=25487
qi ta 	其他	c=21 d=3.96274e-14 t=25487
qi ta ren 	其他人	c=2 d=2.5726e-42 t=25487
qi yu 	其余	c=3 d=1.54255e-11 t=25487
qi zhong 	其中	c=11 d=4.76125e-06 t=25487
qia fan 	恰饭	c=2 d=1.58688e-13 t=25487
qian 	前	c=6 d=1.1044e-19 t=25487
qian 	浅	c=1 d=7.46816e-37 t=25487
qian 	钱	c=8 d=0.106992 t=25487
qian da 	欠大	c=1 d=1.04401e-36 t=25487
qian dao wan gua 	千刀万剐	c=1 d=0.000459671 t=25487
qian duo 	钱多	c=1 d=5.49355e-42 t=25487
qian hao 	钱浩	c=0 d=4.53121e-42 t=25487
qian hao liang 	钱浩亮	c=1 d=4.55392e-41 t=25487
qian hou 	前后	c=2 d=7.27384e-47 t=25487
qian ji tian 	前几天	c=2 d=2.25323e-13 t=25487
qian le 	浅了	c=1 d=5.89811e-25 t=25487
qian le 	签了	c=1 d=7.63098e-26 t=25487
qian mian 	前面	c=3 d=1.2601e-14 t=25487
qian nian 	前年	c=1 d=1.54943e-34 t=25487
qian qing 	前倾	c=1 d=2.97317e-25 t=25487
qian qu 	前去	c=0 d=5.94199e-25 t=25487
qian shang 	签上	c=0 d=2.70087e-43 t=25487
qian shang zi 	签上字	c=1 d=2.71441e-42 t=25487
qian sheng 	前生	c=1 d=7.21131e-37 t=25487
qian ti shi 	前提是	c=1 d=1.40227e-07 t=25487
qian wo 	欠我	c=2 d=1.94848e-12 t=25487
qian yi 	前一	c=0 d=7.87002e-37 t=25487
qian yi lie 	前一列	c=1 d=7.9095e-36 t=25487
qian zai 	潜在	c=1 d=1.26027e-45 t=25487
qian zhui 	前缀	c=1 d=3.15423e-44 t=25487
qian zi 	签字	c=3 d=2.62195e-29 t=25487
qiang 	强	c=2 d=6.14526e-08 t=25487
qiang 	枪	c=1 d=5.94723e-05 t=25487
qiang 	腔	c=2 d=1.00293e-05 t=25487
qiang da 	强大	c=1 d=1.42886e-22 t=25487
qiang ge 	强哥	c=4 d=0.00123602 t=25487
qiang jia 	强加	c=0 d=1.18793e-27 t=25487
qiang jia gei ni 	强加给你	c=1 d=1.19389e-26 t=25487
qiao 	乔	c=2 d=1.54725e-31 t=25487
qiao 	巧	c=1 d=8.28929e-29 t=25487
qiao ding 	敲定	c=1 d=7.81348e-10 t=25487
qiao le 	巧了	c=1 d=6.67317e-07 t=25487
qiao shi 	巧施	c=1 d=1.10837e-34 t=25487
qiao yu 	乔玉	c=0 d=7.15317e-31 t=25487
qiao yu 	巧遇	c=1 d=7.581e-37 t=25487
qiao yu quan 	乔玉泉	c=1 d=7.189e-30 t=25487
qie 	且	c=20 d=0.0151723 t=25487
qie he 	切合	c=1 d=7.25113e-43 t=25487
qie huan 	切换	c=6 d=1.22552e-27 t=25487
qin 	亲	c=1 d=7.01272e-32 t=25487
qin hao 	秦昊	c=0 d=0.0429558 t=25487
qin hao qing 	秦昊卿	c=1 d=0.43171 t=25487
qin lei 	禽类	c=1 d=1.88433e-42 t=25487
qin zi 	亲自	c=2 d=8.80818e-08 t=25487
qin zi mei 	亲姊妹	c=2 d=1.88664e-27 t=25487
qing 	卿	c=0 d=0.0429558 t=25487
qing 	请	c=6 d=2.06825e-20 t=25487
qing 	轻	c=1 d=3.6339e-33 t=25487
qing cai 	青菜	c=1 d=4.5626e-34 t=25487
qing chao 	清朝	c=2 d=1.13446e-06 t=25487
qing chu 	清楚	c=14 d=1.47607e-08 t=25487
qing chu 	清除	c=3 d=3.49213e-06 t=25487
qing dan 	清单	c=1 d=1.506e-23 t=25487
qing dian 	清点	c=2 d=2.17207e-08 t=25487
qing diao 	清掉	c=1 d=1.68049e-48 t=25487
qing feng 	清风	c=0 d=1.16723e-26 t=25487
qing feng ting 	清风亭	c=1 d=1.17307e-25 t=25487
qing hua 	清华	c=6 d=0.00465374 t=25487
qing hua bei da 	清华北大	c=1 d=0.0029676 t=25487
qing jiao 	请教	c=1 d=1.04924e-36 t=25487
qing jie 	情节	c=1 d=1.43547e-47 t=25487
qing jie 	清洁	c=2 d=0.000880518 t=25487
qing ke 	擎科	c=5 d=3.3527e-19 t=25487
qing ke 	请客	c=1 d=1.33939e-26 t=25487
qing kuang 	情况	c=17 d=1.07305e-06 t=25487
qing le 	请了	c=0 d=5.77441e-12 t=25487
qing li 	清理	c=5 d=0.0490527 t=25487
qing liang 	轻量	c=1 d=6.16327e-13 t=25487
qing ni 	请你	c=3 d=1.67017e-05 t=25487
qing nin 	请您	c=1 d=2.32031e-20 t=25487
qing qiu 	请求	c=1 d=1.70856e-37 t=25487
qing shao nian 	青少年	c=0 d=8.2724e-06 t=25487
qing shi 	青石	c=1 d=5.39704e-10 t=25487
qing tan 	情探	c=1 d=8.41457e-29 t=25487
qing wen 	请问	c=9 d=0.000103598 t=25487
qing xi 	清洗	c=3 d=7.18529e-34 t=25487
qing xiang yu 	倾向于	c=1 d=1.41902e-29 t=25487
qing yu nian 	慶餘年	c=1 d=4.65477e-34 t=25487
qing zheng 	轻症	c=5 d=2.09705e-11 t=25487
qing zhong 	轻重	c=0 d=1.92214e-12 t=25487
qing zhong zheng 	轻重症	c=1 d=1.93177e-11 t=25487
qiong 	穷	c=1 d=4.74977e-07 t=25487
qiu 	求	c=3 d=3.76539e-10 t=25487
qiu 	球	c=4 d=3.6673e-13 t=25487
qiu he 	求和	c=1 d=9.92917e-35 t=25487
qiu yin 	蚯蚓	c=2 d=1.70894e-11 t=25487
qiu zhuan 	秋转	c=1 d=4.56818e-19 t=25487
qu 	区	c=0 d=8.09566e-46 t=25487
qu 	去	c=84 d=0.91792 t=25487
qu 	取	c=1 d=1.84608e-36 t=25487
qu ba 	去吧	c=1 d=0.000780949 t=25487
qu bu qu 	去不去	c=1 d=7.99332e-13 t=25487
qu chong 	去重	c=1 d=4.12057e-41 t=25487
qu de 	取得	c=1 d=2.29325e-29 t=25487
qu diao 	去掉	c=6 d=7.44522e-30 t=25487
qu dong 	驱动	c=3 d=9.34068e-28 t=25487
qu guan 	取关	c=1 d=2.36437e-06 t=25487
qu jue yu 	取决于	c=1 d=2.39098e-20 t=25487
qu le 	去了	c=7 d=0.0475625 t=25487
qu ma 	去吗	c=1 d=4.0258e-32 t=25487
qu na 	去哪	c=2 d=4.18866e-28 t=25487
qu na 	去那	c=1 d=3.48667e-17 t=25487
